Relatório de palavras-chave da rede de pesquisa
19 de julho de 2026 - 17 de agosto de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Impr.,CTR,Custo,Parcela impr rede de pesquisa,IS parte sup. pesq.,IS 1ª posição pesq.,Parc impr perd rede de pesquisa (class.),Índice de qualidade,CTR esper.,Exp. na página de destino,Relevância do anúncio,Valor conv.,CPC méd.,Código da moeda convertida,Est. de lance de primeira página,Est. de lance de primeira posição,Estimativa de lance na parte superior da página
Ativado,"""laundry service orlando""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"7,00",BRL,"72,68",,921,"4,89%","508,79","32,09%","19,13%",< 10%,"50,48%",7,Na média,Acima da média,Na média,"0,00","11,31",BRL, --, --, --
Ativado,"""same day laundry service""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,106,"3,77%","61,42","30,45%","15,12%",< 10%,"46,37%",6,Acima da média,Na média,Abaixo da média,"0,00","15,35",BRL, --, --, --
Ativado,"""hotel laundry service""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"2,50",BRL,"5,30",,63,"1,59%","13,26","12,29%",< 10%,< 10%,"76,36%", --, --, --, --,"614,69","13,26",BRL, --, --, --
Ativado,"""laundry service for hotel guests orlando""",Correspondência de frase,Hotel Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""wash and fold orlando""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"1,00",BRL,"8,17",,37,"2,70%","8,17","32,47%","23,38%",< 10%,"58,44%",7,Na média,Na média,Acima da média,"0,00","8,17",BRL, --, --, --
Ativado,"""laundry pickup and delivery""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"3,00",BRL,"107,96",,335,"6,27%","323,88","38,32%","29,05%","11,62%","43,05%",8,Acima da média,Na média,Acima da média,"311,15","15,42",BRL, --, --, --
Ativado,[hotel laundry pickup orlando],Correspondência exata,Hotel Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""laundry delivery near me""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"1,00",BRL,"10,37",,13,"7,69%","10,37","84,62%","84,62%",< 10%,"7,69%",5,Na média,Na média,Abaixo da média,"0,00","10,37",BRL, --, --, --
Ativado,[hotel laundry service orlando],Correspondência exata,Hotel Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,1,"0,00%","0,00","14,29%","14,29%","14,29%","71,43%", --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""laundry pickup hotel orlando""",Correspondência de frase,Hotel Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""laundry pickup near me""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"4,00",BRL,"22,03",,73,"9,59%","88,13","58,33%","50,00%",< 10%,"28,13%", --, --, --, --,"832,51","12,59",BRL, --, --, --
Ativado,"""wash and fold near me""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"11,50",BRL,"65,82",,980,"5,82%","756,90","40,90%","21,57%",< 10%,"42,51%",3,Abaixo da média,Na média,Abaixo da média,"0,00","13,28",BRL, --, --, --
Ativado,"""laundry service near me""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"8,00",BRL,"43,76",,466,"5,58%","350,10","32,41%","18,83%",< 10%,"49,87%",5,Na média,Na média,Abaixo da média,"479,54","13,47",BRL, --, --, --
Ativado,"""laundry delivery orlando""",Correspondência de frase,Hotel Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,2,"0,00%","0,00","100,00%","100,00%",< 10%,"0,00%", --, --, --, --,"0,00",0,BRL, --, --, --
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --,,"38,00",BRL,"55,82",,2.997,"5,44%","2121,01","34,37%","20,36%",< 10%,"48,59%", --, --, --, --,"2.237,89","13,01",BRL, --, --, --
,,Total: Palavras-chave na sua campanha,,,,"38,00",BRL,"55,82",,2.997,"5,44%","2121,01","34,37%","20,36%",< 10%,"48,59%",,,,,"2.237,89","13,01",,,,
,,Total: Suas palavras-chave,,,,"38,00",BRL,"55,82",,2.997,"5,44%","2121,01", --, --, --, --,,,,,"2.237,89","13,01",,,,
,,Total: Correspondências expandidas da AI Max,,,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --,,,,,"0,00",0,,,,
,,Total: Correspondências de páginas de destino da AI Max,,,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --,,,,,"0,00",0,,,,
,,Total: Inclusões de URL na sua campanha,,,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --,,,,,"0,00",0,,,,
,,Total: Campanha,,,,"38,00",BRL,"55,82",,2.997,"5,44%","2121,01","34,37%","20,36%",< 10%,"48,59%",,,,,"2.237,89","13,01",,,,
