"Palavra-chave","Status da coleta","Domínio do URL de visualização","Parcela de impressões","Taxa de sobreposição","Taxa de posição superior","Taxa da parte superior da página","Taxa da 1ª posição na página","Parcela de superação"
"""laundry delivery near me""","OK","happynest.com","23,08%","27,27%","33,33%","100,00%","0,00%","76,92%"
"""laundry delivery near me""","OK","kit.com","15,38%","9,09%","0,00%","0,00%","0,00%","84,62%"
"""laundry delivery near me""","OK","google.com","< 10%","9,09%","0,00%","100,00%","0,00%","84,62%"
"""laundry delivery near me""","OK","thumbtack.com","< 10%","0,00%","—","100,00%","0,00%","84,62%"
"""laundry delivery near me""","OK","homeaglow.com","< 10%","0,00%","—","0,00%","0,00%","84,62%"
"""wash and fold orlando""","OK","orlandolaundryroom.com","48,65%","76,00%","78,95%","91,67%","69,44%","13,51%"
"""wash and fold orlando""","OK","Você","33,78%","—","—","72,00%","20,00%","—"
"""wash and fold orlando""","OK","happynest.com","25,68%","32,00%","37,50%","73,68%","15,79%","29,73%"
"""wash and fold orlando""","OK","poplin.co","24,32%","24,00%","50,00%","88,89%","16,67%","29,73%"
"""wash and fold orlando""","OK","apple.com","< 10%","16,00%","0,00%","25,00%","0,00%","33,78%"
"""laundry delivery orlando""","OK","Você","100,00%","—","—","100,00%","0,00%","—"
"""laundry delivery orlando""","OK","happynest.com","100,00%","100,00%","100,00%","100,00%","0,00%","0,00%"
"""laundry delivery orlando""","OK","orlandolaundryroom.com","100,00%","100,00%","100,00%","100,00%","100,00%","0,00%"
"""laundry delivery orlando""","OK","poplin.co","100,00%","100,00%","100,00%","100,00%","0,00%","0,00%"
"""laundry service orlando""","OK","Você","32,02%","—","—","59,60%","26,07%","—"
"""laundry service orlando""","OK","orlandolaundryroom.com","20,50%","37,82%","73,48%","84,12%","59,06%","23,12%"
"""laundry service orlando""","OK","happynest.com","< 10%","17,34%","41,32%","72,93%","9,39%","29,72%"
"""laundry service orlando""","OK","poplin.co","< 10%","14,47%","48,51%","75,84%","24,16%","29,77%"
"""laundry pickup near me""","OK","Você","34,66%","—","—","59,35%","24,33%","—"
"""laundry pickup near me""","OK","orlandolaundryroom.com","18,30%","31,40%","77,88%","86,28%","58,84%","26,18%"
"""laundry pickup near me""","OK","happynest.com","11,47%","20,20%","42,83%","73,23%","15,57%","31,66%"
"""laundry pickup near me""","OK","poplin.co","10,13%","17,60%","46,00%","76,97%","26,82%","31,85%"
"[hotel laundry service orlando]","OK","aaxon.com","57,14%","0,00%","—","100,00%","75,00%","14,29%"
"[hotel laundry service orlando]","OK","steineratlantic.com","42,86%","0,00%","—","100,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","commerciallaundries.com","42,86%","0,00%","—","100,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","laundryproofflorida.com","28,57%","0,00%","—","100,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","aquacarels.com","28,57%","0,00%","—","50,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","Você","14,29%","—","—","100,00%","100,00%","—"
"[hotel laundry service orlando]","OK","happynest.com","14,29%","100,00%","0,00%","100,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","hilton.com","14,29%","0,00%","—","0,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","hotellandy.com","14,29%","0,00%","—","100,00%","100,00%","14,29%"
"[hotel laundry service orlando]","OK","tyndaleusa.com","14,29%","0,00%","—","100,00%","100,00%","14,29%"
"[hotel laundry service orlando]","OK","alsco.com","14,29%","0,00%","—","0,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","groveresortorlando.com","14,29%","0,00%","—","100,00%","0,00%","14,29%"
"[hotel laundry service orlando]","OK","girbau.com","14,29%","0,00%","—","100,00%","0,00%","14,29%"
