Relatório de termos de pesquisa
19 de julho de 2026 - 17 de agosto de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
dry cleaners on hiawassee rd,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,7,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
washateria close to me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
at home laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
bubbles laundry orlando,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry wash and fold service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash and fold laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaner pick up,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaners hunters creek,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
the laundry room orlando fl,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
florida laundry services,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,2,"50,00%",BRL,"17,13","17,13","0,00%","0,00","0,00"
nearest laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
suit laundry near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry place near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
lavandería near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,2,"50,00%",BRL,"6,94","6,94","0,00%","0,00","0,00"
laundromats near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash n fold,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry near me within 0.2 mi,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
next day dry cleaners near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
how much do laundry services cost,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cleaners laundry near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
lavanderia open near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
drop off wash and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash and fold orlando,Correspondência exata,Adicionado,Hotel Guest Laundry,1,10,"10,00%",BRL,"8,17","8,17","100,00%","1,00","8,17"
laundry service jacksonville fl,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaners that wash comforters near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
can i hire someone to do my laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
poplin app,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
terra luna laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
24 7 laundry near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry companies,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
washing service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando cleaners winter garden,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cleaners by agujitas orlando,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry delivery service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry clean near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
launderama near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
clean laundry orlando,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry valet service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cheap dry cleaning near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
tampa laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaner cost near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash and fold near me same day,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,1,"100,00%",BRL,"12,18","12,18","0,00%","0,00","0,00"
wash and fold laundry,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
drop off laundry service near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry place,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundromats in orlando florida,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
24 hour dry cleaners near me open now,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry room orlando,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
washateria near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,5,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
yowash near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry and folding service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
how much does a laundry service cost,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando laundry room,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,20,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry deals near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
fluff n fold laundry near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
drop off laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,15,"6,67%",BRL,"14,87","14,87","0,00%","0,00","0,00"
tintoreria near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,39,681,"5,73%",BRL,"12,80","499,28","19,23%","7,50","66,57"
orlando cleaners 24 7 celebration kissimmee,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
closest launderette to me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
disney world laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
do my laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry pickup and delivery near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
home laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
drop off laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
mobile laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,3,"33,33%",BRL,"10,36","10,36","100,00%","1,00","10,36"
wash and fold,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
best laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cleaners near me for clothes,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
purestar orlando,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash dry and fold service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
clothes washing service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundromats that do your laundry for you near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaners narcoossee road,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
same day laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
poplin laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
mobile dry cleaning,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,4,"25,00%",BRL,"45,03","45,03","0,00%","0,00","0,00"
laundry near,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
drop off and pick up laundry near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry wash & fold,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,1,"100,00%",BRL,"7,74","7,74","0,00%","0,00","0,00"
laundry drop off,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cheapest dry cleaners near me within 5 mi,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando cleaners obt,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry 24 7 near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
hampr laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
service laundry,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
where can i get my laundry done,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
the laundry room orlando reviews,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
app laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry service ocoee,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
una laundry cerca de mi,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
duvet washing near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry cerca de mí,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,3,13,"23,08%",BRL,"8,60","25,81","0,00%","0,00","0,00"
laundry places near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
ironing service near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,5,"20,00%",BRL,"16,55","16,55","0,00%","0,00","0,00"
laundry orlando,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,36,"2,78%",BRL,"17,94","17,94","0,00%","0,00","0,00"
daily laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry near me that takes card,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
washr app,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
where to wash clothes near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,3,"33,33%",BRL,"22,42","22,42","100,00%","1,00","22,42"
drop off and pick up laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry pick up and delivery,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,5,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry service near me prices,Correspondência de frase,Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
fluff and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,3,"33,33%",BRL,"10,52","10,52","0,00%","0,00","0,00"
pickup delivery laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,2,"50,00%",BRL,"11,34","11,34","0,00%","0,00","0,00"
1800 dry clean near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,2,"50,00%",BRL,"9,41","9,41","0,00%","0,00","0,00"
press and dry clean near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
best dry cleaners for wedding dresses near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
bolt laundry service near me,Correspondência de frase,Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry drop off near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaners lake nona,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,7,"14,29%",BRL,"8,67","8,67","0,00%","0,00","0,00"
suit ironing near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
closest laundry near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry and fold service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,1,1,"100,00%",BRL,"7,57","7,57","100,00%","1,00","7,57"
laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,13,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
nest laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
monthly laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
bulk laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
lavandería cerca de mi ubicación,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
lavandería near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry cleaners near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
happy nest laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry wash and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
happynest laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,5,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry room nearby,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
professional ironing service near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry pick up services,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando cleaners 24 7,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
in house laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry pickup and delivery service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
one hour laundry near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dry cleaner pick up near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
